Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,순위점수 + 톱랭킹포인트*10,순위점수 + 톱랭킹포인트,순위점수 + WAR
,,,,,a,b,,,c,a + (round(b)*10),a + round(b/10)*10,a + (c*1000)
rank,톱랭킹 Rank,선수명,구단,포지션,순위 점수,톱랭킹 포인트,기본 점수,승리 기여도,WAR,1안,2안,3안(FIX)
179,90,이도윤,한화,타자,211000,335.13,397.2,-62.07,1.02,214350,211340,212020
180,91,최재훈,한화,타자,210000,331.81,348.2,-16.39,1.66,213320,210330,211660
181,90,송은범,삼성,투수,211000,81.74,76.6,5.14,0.35,211820,211080,211350
182,91,발라조빅,두산,투수,210000,77.82,93,-15.18,1.35,210780,210080,211350
183,92,고영표,KT,투수,209000,76.48,166.9,-90.42,1.89,209760,209080,210890
184,93,정준재,SSG,타자,208000,316.94,310,6.94,1.99,211170,208320,209990
185,92,고명준,SSG,타자,209000,329.75,375.3,-45.55,0.27,212300,209330,209270
186,93,박명근,LG,투수,208000,63.38,121.8,-58.42,-0.34,208630,208060,207660
187,94,이창진,KIA,타자,207000,315.24,288.2,27.04,0.63,210150,207320,207630
188,95,오윤석,KT,타자,206000,308.05,289.1,18.95,1.47,209080,206310,207470
189,96,황동하,KIA,투수,205000,59.9,109.5,-49.6,2.11,205600,205060,207110
190,94,송명기,NC,투수,207000,63.25,67.7,-4.45,-0.15,207630,207060,206850
191,95,구승민,롯데,투수,206000,61.04,209.7,-148.66,0.23,206610,206060,206230
192,96,문현빈,한화,타자,205000,305.85,371.1,-65.25,0.28,208060,205310,205280
193,97,천재환,NC,타자,204000,271.32,283,-11.68,0.34,206710,204270,204340
194,97,장시환,한화,투수,204000,56.99,52.9,4.09,0.2,204570,204060,204200
195,98,심우준,KT,타자,203000,270.19,246.2,23.99,0.89,205700,203270,203890
196,98,라우어,KIA,투수,203000,56.5,100.3,-43.8,0.88,203570,203060,203880
197,99,박진,롯데,투수,202000,54.06,77.5,-23.44,1.15,202540,202050,203150
198,101,김기연,두산,타자,200000,252.02,310.3,-58.28,1.47,202520,200250,201470
199,100,박시영,KT,투수,201000,52.42,90,-37.58,0.29,201520,201050,201290
200,100,박지환,SSG,타자,201000,259.1,221.6,37.5,-0.23,203590,201260,200770
201,99,하재훈,SSG,타자,202000,264.47,334.7,-70.23,-1.48,204640,202260,200520
202,101,최성영,NC,투수,200000,48.65,74.5,-25.85,-0.02,200490,200050,199980
203,102,디아즈,삼성,타자,199000,240.97,205.8,35.17,0.77,201410,199240,199770
204,103,이용규,키움,타자,198000,234.11,246.5,-12.39,1.53,200340,198230,199530
205,102,김대우,삼성,투수,199000,46.57,65.6,-19.03,0.1,199470,199050,199100
206,103,박진형,롯데,투수,198000,42.15,21.5,20.65,0.21,198420,198040,198210
207,104,이형종,키움,타자,197000,230.96,208.9,22.06,0.65,199310,197230,197650
208,104,한재승,NC,투수,197000,32.62,112.6,-79.98,0.6,197330,197030,197600
209,105,김태군,KIA,타자,196000,229.64,276.4,-46.76,1.04,198300,196230,197040
210,105,류진욱,NC,투수,196000,32.35,141.2,-108.85,-0.13,196320,196030,195870
211,106,박정수,두산,투수,195000,32.05,31.4,0.65,0.06,195320,195030,195060
212,107,한두솔,SSG,투수,194000,29.01,104.8,-75.79,0.84,194290,194030,194840
213,106,김범석,LG,타자,195000,196.46,192,4.46,-0.29,196960,195200,194710
214,108,변우혁,KIA,타자,193000,178.95,194.9,-15.95,0.66,194790,193180,193660
215,107,고영우,키움,타자,194000,195.99,215.6,-19.61,-0.43,195960,194200,193570
216,108,박지호,두산,투수,193000,28.44,16.4,12.04,0.11,193280,193030,193110
217,109,최정원,NC,타자,192000,174.98,203.3,-28.32,0.79,193750,192170,192790
218,110,박준영,두산,타자,191000,174.65,241.8,-67.15,1.55,192750,191170,192550
